0	sky	Cúpula HDRI	skyHdri	11,8,10	68,48,68
303	lower	Puerta doble mono derecha Vidrio interior	glassInner	18.6200008392334,1.4199999570846558,5.89300012588501	1.136579990386963,2.293100118637085,0.008999999612569809
304	lower	Puerta doble mono derecha marco superior	blackMetal	18.6200008392334,2.569999933242798,5.880000114440918	1.3040000200271606,0.0820000022649765,0.125
305	lower	Puerta doble mono derecha marco inferior	blackMetal	18.6200008392334,0.27000001072883606,5.880000114440918	1.3040000200271606,0.0820000022649765,0.125
306	lower	Puerta doble mono derecha marco izquierdo	blackMetal	18.049999237060547,1.4199999570846558,5.880000114440918	0.0820000022649765,2.299999952316284,0.125
307	lower	Puerta doble mono derecha marco derecho	blackMetal	19.190000534057617,1.4199999570846558,5.880000114440918	0.0820000022649765,2.299999952316284,0.125
308	lower	Puerta doble mono derecha Burlete superior	blackMetal	18.6200008392334,2.535559892654419,5.880000114440918	1.1399999856948853,0.026000000536441803,0.03500000014901161
309	lower	Puerta doble mono derecha Burlete inferior	blackMetal	18.6200008392334,0.3044399917125702,5.880000114440918	1.1399999856948853,0.026000000536441803,0.03500000014901161
310	lower	Puerta doble mono derecha Burlete izquierdo	blackMetal	18.084440231323242,1.4199999570846558,5.880000114440918	0.026000000536441803,2.299999952316284,0.03500000014901161
311	lower	Puerta doble mono derecha Burlete derecho	blackMetal	19.155559539794922,1.4199999570846558,5.880000114440918	0.026000000536441803,2.299999952316284,0.03500000014901161
312	lower	Puerta doble mono derecha alféizar	concrete	18.6200008392334,0.2150000035762787,5.8979997634887695	1.2137999534606934,0.04500000178813934,0.18000000715255737
313	upper	Losa entre plantas	concrete	18,3.0999999046325684,6	8,0.20000000298023224,12
314	lower	Columna quincho 0	concreteDark	14.149999618530273,1.5,6.150000095367432	0.30000001192092896,3,0.30000001192092896
315	lower	Columna quincho 1	blackMetal	14.149999618530273,1.5,9	0.30000001192092896,3,0.30000001192092896
316	lower	Columna quincho 2	concreteDark	14.149999618530273,1.5,11.819999694824219	0.30000001192092896,3,0.30000001192092896
317	lower	Viga quincho lateral	concreteDark	14.149999618530273,2.819999933242798,9	0.30000001192092896,0.36000001430511475,6
318	lower	Viga quincho posterior	concreteDark	18,2.819999933242798,11.850000381469727	8,0.36000001430511475,0.30000001192092896
319	lower	Piso quincho	cement	18,0.12999999523162842,9	8,0.10000000149011612,6
320	lower	Cúpula horno	terracotta	21.1200008392334,1.1699999570846558,6.75	0.6200000047683716,0.7200000286102295,0.6200000047683716
321	lower	Base horno	brickDark	21.1200008392334,0.44999998807907104,6.75	1.149999976158142,0.8999999761581421,1.2000000476837158
322	lower	Boca horno	blackMetal	20.479999542236328,1.1699999570846558,6.75	0.07999999821186066,0.5799999833106995,0.6200000047683716
323	lower	Chimenea horno	blackMetal	21.25,2.180000066757202,6.75	0.12999999523162842,1,0.12999999523162842
324	lower	Mueble bacha	concreteDark	21.049999237060547,0.49000000953674316,8.149999618530273	1.5499999523162842,0.9800000190734863,1.2200000286102295
325	lower	Mesada bacha	concrete	20.950000762939453,1.0199999809265137,8.149999618530273	1.7200000286102295,0.11999999731779099,1.2999999523162842
326	lower	Bacha doble A	blackMetal	20.690000534057617,1.0549999475479126,7.880000114440918	0.4300000071525574,0.029999999329447746,0.4300000071525574
327	lower	Bacha doble B	blackMetal	20.690000534057617,1.0549999475479126,8.420000076293945	0.4300000071525574,0.029999999329447746,0.4300000071525574
328	lower	Grifería	stainless	20.579999923706055,1.3600000143051147,8.149999618530273	0.03500000014901161,0.550000011920929,0.03500000014901161
329	lower	Parrilla base	brickDark	21.049999237060547,0.4699999988079071,9.4399995803833	1.5499999523162842,0.9399999976158142,1.100000023841858
330	lower	Parrilla campana	blackMetal	21.170000076293945,2.180000066757202,9.4399995803833	1.350000023841858,1.100000023841858,1.0399999618530273
331	lower	Hueco parrilla	blackMetal	20.479999542236328,1.4299999475479126,9.4399995803833	0.07999999821186066,0.75,0.8600000143051147
332	lower	Parrilla rejilla	stainless	20.389999389648438,1.1200000047683716,9.4399995803833	0.07999999821186066,0.03999999910593033,0.7599999904632568
333	lower	Baño quincho muro lateral	brick	20.600000381469727,1.2999999523162842,11	0.20000000298023224,2.5999999046325684,2
334	lower	Piso baño quincho	tile	21.25,0.17000000178813934,11	1.4500000476837158,0.07999999821186066,1.7999999523162842
335	lower	Inodoro quincho	ceramic	21.530000686645508,0.4300000071525574,10.800000190734863	0.41999998688697815,0.550000011920929,0.6200000047683716
336	lower	Lavatorio quincho	ceramic	20.829999923706055,0.7200000286102295,10.779999732971191	0.46000000834465027,0.18000000715255737,0.3799999952316284
337	lower	Mesa quincho tapa	wood	17.25,0.7799999713897705,8.75	2.1500000953674316,0.09000000357627869,0.9200000166893005
338	lower	Mesa quincho pata 0	blackMetal	16.347000122070312,0.38999998569488525,8.400400161743164	0.05999999865889549,0.7799999713897705,0.05999999865889549
339	lower	Mesa quincho pata 1	blackMetal	18.152999877929688,0.38999998569488525,8.400400161743164	0.05999999865889549,0.7799999713897705,0.05999999865889549
340	lower	Mesa quincho pata 2	blackMetal	16.347000122070312,0.38999998569488525,9.099599838256836	0.05999999865889549,0.7799999713897705,0.05999999865889549
341	lower	Mesa quincho pata 3	blackMetal	18.152999877929688,0.38999998569488525,9.099599838256836	0.05999999865889549,0.7799999713897705,0.05999999865889549
342	lower	Silla quincho 1 asiento	wood	16.350000381469727,0.5199999809265137,8	0.46000000834465027,0.07999999821186066,0.46000000834465027
343	lower	Silla quincho 1 respaldo	woodDark	16.350000381469727,0.8399999737739563,7.800000190734863	0.46000000834465027,0.6200000047683716,0.05999999865889549
344	lower	Silla quincho 1 pata 0	blackMetal	16.170000076293945,0.25,7.820000171661377	0.04500000178813934,0.5,0.04500000178813934
345	lower	Silla quincho 1 pata 1	blackMetal	16.530000686645508,0.25,7.820000171661377	0.04500000178813934,0.5,0.04500000178813934
346	lower	Silla quincho 1 pata 2	blackMetal	16.170000076293945,0.25,8.180000305175781	0.04500000178813934,0.5,0.04500000178813934
347	lower	Silla quincho 1 pata 3	blackMetal	16.530000686645508,0.25,8.180000305175781	0.04500000178813934,0.5,0.04500000178813934
348	lower	Silla quincho 2 asiento	wood	18.149999618530273,0.5199999809265137,8	0.46000000834465027,0.07999999821186066,0.46000000834465027
349	lower	Silla quincho 2 respaldo	woodDark	18.149999618530273,0.8399999737739563,7.800000190734863	0.46000000834465027,0.6200000047683716,0.05999999865889549
350	lower	Silla quincho 2 pata 0	blackMetal	17.969999313354492,0.25,7.820000171661377	0.04500000178813934,0.5,0.04500000178813934
351	lower	Silla quincho 2 pata 1	blackMetal	18.329999923706055,0.25,7.820000171661377	0.04500000178813934,0.5,0.04500000178813934
352	lower	Silla quincho 2 pata 2	blackMetal	17.969999313354492,0.25,8.180000305175781	0.04500000178813934,0.5,0.04500000178813934
353	lower	Silla quincho 2 pata 3	blackMetal	18.329999923706055,0.25,8.180000305175781	0.04500000178813934,0.5,0.04500000178813934
354	lower	Silla quincho 3 asiento	wood	16.350000381469727,0.5199999809265137,9.5	0.46000000834465027,0.07999999821186066,0.46000000834465027
355	lower	Silla quincho 3 respaldo	woodDark	16.350000381469727,0.8399999737739563,9.699999809265137	0.46000000834465027,0.6200000047683716,0.05999999865889549
356	lower	Silla quincho 3 pata 0	blackMetal	16.530000686645508,0.25,9.680000305175781	0.04500000178813934,0.5,0.04500000178813934
357	lower	Silla quincho 3 pata 1	blackMetal	16.170000076293945,0.25,9.680000305175781	0.04500000178813934,0.5,0.04500000178813934
358	lower	Silla quincho 3 pata 2	blackMetal	16.530000686645508,0.25,9.319999694824219	0.04500000178813934,0.5,0.04500000178813934
359	lower	Silla quincho 3 pata 3	blackMetal	16.170000076293945,0.25,9.319999694824219	0.04500000178813934,0.5,0.04500000178813934
360	lower	Silla quincho 4 asiento	wood	18.149999618530273,0.5199999809265137,9.5	0.46000000834465027,0.07999999821186066,0.46000000834465027
361	lower	Silla quincho 4 respaldo	woodDark	18.149999618530273,0.8399999737739563,9.699999809265137	0.46000000834465027,0.6200000047683716,0.05999999865889549
362	lower	Silla quincho 4 pata 0	blackMetal	18.329999923706055,0.25,9.680000305175781	0.04500000178813934,0.5,0.04500000178813934
363	lower	Silla quincho 4 pata 1	blackMetal	17.969999313354492,0.25,9.680000305175781	0.04500000178813934,0.5,0.04500000178813934
364	lower	Silla quincho 4 pata 2	blackMetal	18.329999923706055,0.25,9.319999694824219	0.04500000178813934,0.5,0.04500000178813934
365	lower	Silla quincho 4 pata 3	blackMetal	17.969999313354492,0.25,9.319999694824219	0.04500000178813934,0.5,0.04500000178813934
366	lower	Luz lineal quincho	warmLight	18.100000381469727,2.819999933242798,8.850000381469727	2.5999999046325684,0.04500000178813934,0.09000000357627869
367	lower	Piso monoambiente	wood	18,0.17000000178813934,3	7.650000095367432,0.07999999821186066,5.650000095367432
368	lower	Sofá cama mono base	fabric	15.649999618530273,0.5099999904632568,2.1500000953674316	2.049999952316284,0.30000001192092896,0.8600000143051147
369	lower	Sofá cama mono respaldo	fabric	15.649999618530273,0.9599999785423279,1.8200000524520874	2.009000062942505,0.6700000166893005,0.23999999463558197
370	lower	Sofá cama mono brazo -1	fabric	14.729999542236328,0.7699999809265137,2.1500000953674316	0.2199999988079071,0.5199999809265137,0.8600000143051147
371	lower	Sofá cama mono brazo 1	fabric	16.56999969482422,0.7699999809265137,2.1500000953674316	0.2199999988079071,0.5199999809265137,0.8600000143051147
372	lower	Sofá cama mono cojín 0	fabric	15.113333702087402,0.7250000238418579,2.1700000762939453	0.5226666927337646,0.20000000298023224,0.6399999856948853
373	lower	Sofá cama mono costura cojín 0	fabric	15.113333702087402,0.7200000286102295,2.1700000762939453	1,1,1
374	lower	Sofá cama mono cojín 1	fabric	15.649999618530273,0.7250000238418579,2.1700000762939453	0.5226666927337646,0.20000000298023224,0.6399999856948853
375	lower	Sofá cama mono costura cojín 1	fabric	15.649999618530273,0.7200000286102295,2.1700000762939453	1,1,1
376	lower	Sofá cama mono cojín 2	fabric	16.18666648864746,0.7250000238418579,2.1700000762939453	0.5226666927337646,0.20000000298023224,0.6399999856948853
377	lower	Sofá cama mono costura cojín 2	fabric	16.18666648864746,0.7200000286102295,2.1700000762939453	1,1,1
378	lower	Sofá cama mono pata -1-1	blackMetal	14.795000076293945,0.2800000011920929,1.8600000143051147	0.026000000536441803,0.2199999988079071,0.026000000536441803
379	lower	Sofá cama mono pata -11	blackMetal	14.795000076293945,0.2800000011920929,2.440000057220459	0.026000000536441803,0.2199999988079071,0.026000000536441803
380	lower	Sofá cama mono pata 1-1	blackMetal	16.5049991607666,0.2800000011920929,1.8600000143051147	0.026000000536441803,0.2199999988079071,0.026000000536441803
381	lower	Sofá cama mono pata 11	blackMetal	16.5049991607666,0.2800000011920929,2.440000057220459	0.026000000536441803,0.2199999988079071,0.026000000536441803
382	lower	Mesa mono tapa	wood	18.049999237060547,0.949999988079071,2.799999952316284	1.149999976158142,0.09000000357627869,0.7200000286102295
383	lower	Mesa mono pata 0	blackMetal	17.566999435424805,0.5600000023841858,2.526400089263916	0.05999999865889549,0.7799999713897705,0.05999999865889549
384	lower	Mesa mono pata 1	blackMetal	18.533000946044922,0.5600000023841858,2.526400089263916	0.05999999865889549,0.7799999713897705,0.05999999865889549
385	lower	Mesa mono pata 2	blackMetal	17.566999435424805,0.5600000023841858,3.0736000537872314	0.05999999865889549,0.7799999713897705,0.05999999865889549
386	lower	Mesa mono pata 3	blackMetal	18.533000946044922,0.5600000023841858,3.0736000537872314	0.05999999865889549,0.7799999713897705,0.05999999865889549
387	lower	Silla mono 1 asiento	wood	17.5,0.6899999976158142,2.180000066757202	0.46000000834465027,0.07999999821186066,0.46000000834465027
388	lower	Silla mono 1 respaldo	woodDark	17.5,1.0099999904632568,1.9800000190734863	0.46000000834465027,0.6200000047683716,0.05999999865889549
389	lower	Silla mono 1 pata 0	blackMetal	17.31999969482422,0.41999998688697815,2	0.04500000178813934,0.5,0.04500000178813934
390	lower	Silla mono 1 pata 1	blackMetal	17.68000030517578,0.41999998688697815,2	0.04500000178813934,0.5,0.04500000178813934
391	lower	Silla mono 1 pata 2	blackMetal	17.31999969482422,0.41999998688697815,2.359999895095825	0.04500000178813934,0.5,0.04500000178813934
392	lower	Silla mono 1 pata 3	blackMetal	17.68000030517578,0.41999998688697815,2.359999895095825	0.04500000178813934,0.5,0.04500000178813934
393	lower	Silla mono 2 asiento	wood	18.600000381469727,0.6899999976158142,3.380000114440918	0.46000000834465027,0.07999999821186066,0.46000000834465027
394	lower	Silla mono 2 respaldo	woodDark	18.600000381469727,1.0099999904632568,3.5799999237060547	0.46000000834465027,0.6200000047683716,0.05999999865889549
395	lower	Silla mono 2 pata 0	blackMetal	18.780000686645508,0.41999998688697815,3.559999942779541	0.04500000178813934,0.5,0.04500000178813934
396	lower	Silla mono 2 pata 1	blackMetal	18.420000076293945,0.41999998688697815,3.559999942779541	0.04500000178813934,0.5,0.04500000178813934
397	lower	Silla mono 2 pata 2	blackMetal	18.780000686645508,0.41999998688697815,3.200000047683716	0.04500000178813934,0.5,0.04500000178813934
398	lower	Silla mono 2 pata 3	blackMetal	18.420000076293945,0.41999998688697815,3.200000047683716	0.04500000178813934,0.5,0.04500000178813934
399	lower	Baño mono muro izquierdo	whitePlaster	19.31999969482422,1.2999999523162842,5	0.14000000059604645,2.5999999046325684,1.600000023841858
400	lower	Baño mono muro frente	whitePlaster	20.600000381469727,1.2999999523162842,4.28000020980835	2.4200000762939453,2.5999999046325684,0.14000000059604645
401	lower	Baño mono puerta	woodDark	19.81999969482422,1.1200000047683716,4.28000020980835	0.7200000286102295,2.1500000953674316,0.054999999701976776
402	lower	Piso baño mono	tile	20.6200008392334,0.17000000178813934,5.019999980926514	2.4800000190734863,0.07999999821186066,1.7200000286102295
403	lower	Inodoro mono	ceramic	21.18000030517578,0.4300000071525574,5.420000076293945	0.41999998688697815,0.550000011920929,0.6200000047683716
404	lower	Lavatorio mono	ceramic	20.030000686645508,0.7200000286102295,5.420000076293945	0.5,0.18000000715255737,0.36000001430511475
405	lower	Espejo baño mono	mirror	19.639999389648438,1.5800000429153442,5.420000076293945	0.05000000074505806,0.8999999761581421,0.6200000047683716
406	lower	Bajos cocina mono lateral	woodDark	14.720000267028809,0.6399999856948853,4.900000095367432	0.9599999785423279,0.9200000166893005,2
407	lower	Mesada cocina mono lateral	concrete	14.619999885559082,1.1299999952316284,4.900000095367432	1.100000023841858,0.09000000357627869,2.0799999237060547
408	lower	Bajos cocina mono fondo	woodDark	15.779999732971191,0.6399999856948853,5.460000038146973	2.2799999713897705,0.9200000166893005,0.8799999952316284
409	lower	Mesada cocina mono fondo	concrete	15.779999732971191,1.1299999952316284,5.360000133514404	2.359999895095825,0.09000000357627869,1
410	lower	Bacha cocina mono	stainless	14.880000114440918,1.159999966621399,4.300000190734863	0.47999998927116394,0.029999999329447746,0.6000000238418579
411	lower	Grifería cocina mono	stainless	14.720000267028809,1.4199999570846558,4.300000190734863	0.029999999329447746,0.41999998688697815,0.029999999329447746
412	lower	Anafe cocina mono	blackMetal	16.479999542236328,1.159999966621399,5.340000152587891	0.6200000047683716,0.029999999329447746,0.41999998688697815
413	lower	Heladera mono	blackMetal	14.579999923706055,1.1799999475479126,5.349999904632568	0.7200000286102295,2.200000047683716,0.7200000286102295
414	lower	Isla cocina mono base	woodDark	16.850000381469727,0.6200000047683716,4.550000190734863	1.5800000429153442,0.9200000166893005,0.7599999904632568
415	lower	Isla cocina mono tapa	concrete	16.850000381469727,1.1100000143051147,4.550000190734863	1.7200000286102295,0.09000000357627869,0.9200000166893005
416	lower	Taburete isla mono A	wood	16.31999969482422,0.4699999988079071,3.819999933242798	0.3799999952316284,0.5400000214576721,0.3799999952316284
417	lower	Taburete isla mono B	wood	17.3799991607666,0.4699999988079071,3.819999933242798	0.3799999952316284,0.5400000214576721,0.3799999952316284
418	lower	Placard mono	woodDark	20.850000381469727,1.3700000047683716,0.7200000286102295	1.7000000476837158,2.4000000953674316,0.550000011920929
419	lower	Lámpara mono	warmLight	18,2.5399999618530273,3	0.2199999988079071,0.07999999821186066,0.2199999988079071
420	upper	Piso estudio	fabric	18,3.2249999046325684,3	7.550000190734863,0.05000000074505806,5.550000190734863
421	upper	Piso vivienda	wood	18,3.2249999046325684,9	7.550000190734863,0.05000000074505806,5.550000190734863
422	upper	Fachada superior opaca	brick	18,4.800000190734863,0.10000000149011612	8,3.200000047683716,0.20000000298023224
423	upper	Banda hormigón fachada superior	concreteDark	19.25,4.800000190734863,0.004999999888241291	0.75,3.2799999713897705,0.23999999463558197
424	upper	Junta vertical fachada	blackMetal	16.100000381469727,4.800000190734863,-0.02500000037252903	0.04500000178813934,3,0.03999999910593033
425	upper	Receso acceso técnico	blackMetal	21.25,4.829999923706055,-0.019999999552965164	0.5799999833106995,1.6399999856948853,0.05000000074505806
426	upper	Medianera alta estudio	brickDark	21.899999618530273,4.800000190734863,3	0.20000000298023224,3.200000047683716,6
427	upper	División estudio vivienda	concreteDark	18,4.800000190734863,6	8,3.200000047683716,0.20000000298023224
428	upper	Estudio lateral frente	brick	14.100000381469727,4.800000190734863,0.75	0.20000000298023224,3.200000047683716,1.5
429	upper	Estudio antepecho ventana	brick	14.100000381469727,3.619999885559082,3	0.20000000298023224,0.8399999737739563,3
430	upper	Estudio dintel ventana	concrete	14.100000381469727,6.079999923706055,3	0.20000000298023224,0.6399999856948853,3
431	upper	Estudio paño entre ventana y puerta	brick	14.100000381469727,4.800000190734863,4.670000076293945	0.20000000298023224,3.200000047683716,0.3400000035762787
432	upper	Estudio lateral posterior	brick	14.100000381469727,4.800000190734863,5.880000114440918	0.20000000298023224,3.200000047683716,0.23999999463558197
433	upper	Dintel puerta estudio	concrete	14.100000381469727,6.019999980926514,5.300000190734863	0.20000000298023224,0.7599999904632568,0.8999999761581421
434	upper	Ventana DVH estudio vidrio	glass	13.972000122070312,4.920000076293945,3	0.008999999612569809,1.7200000286102295,3
435	upper	Ventana DVH estudio Vidrio interior	glassInner	13.998000144958496,4.920000076293945,3	0.008999999612569809,1.714840054512024,2.990999937057495
436	upper	Ventana DVH estudio marco superior	blackMetal	13.984999656677246,5.78000020980835,3	0.125,0.0820000022649765,3.1640000343322754
437	upper	Ventana DVH estudio marco inferior	blackMetal	13.984999656677246,4.059999942779541,3	0.125,0.0820000022649765,3.1640000343322754
438	upper	Ventana DVH estudio marco frente	blackMetal	13.984999656677246,4.920000076293945,1.5	0.125,1.7200000286102295,0.0820000022649765
439	upper	Ventana DVH estudio marco fondo	blackMetal	13.984999656677246,4.920000076293945,4.5	0.125,1.7200000286102295,0.0820000022649765
440	upper	Ventana DVH estudio Burlete superior	blackMetal	13.984999656677246,5.745560169219971,3	0.03500000014901161,0.026000000536441803,3
441	upper	Ventana DVH estudio Burlete inferior	blackMetal	13.984999656677246,4.09443998336792,3	0.03500000014901161,0.026000000536441803,3
442	upper	Ventana DVH estudio Burlete frente	blackMetal	13.984999656677246,4.920000076293945,1.534440040588379	0.03500000014901161,1.7200000286102295,0.026000000536441803
443	upper	Ventana DVH estudio Burlete fondo	blackMetal	13.984999656677246,4.920000076293945,4.465559959411621	0.03500000014901161,1.7200000286102295,0.026000000536441803
444	upper	Ventana DVH estudio alféizar	concrete	14.003000259399414,4.005000114440918,3	0.18000000715255737,0.04500000178813934,3.0738000869750977
445	upper	Puerta acceso estudio	woodDark	13.970000267028809,4.559999942779541,5.300000190734863	0.06499999761581421,2.5399999618530273,0.8799999952316284
446	upperDetail	Manija puerta estudio exterior	stainless	13.90999984741211,4.579999923706055,4.980000019073486	0.03200000151991844,0.2800000011920929,0.03200000151991844
447	upperDetail	Manija puerta estudio interior	stainless	14.029999732971191,4.579999923706055,4.980000019073486	0.03200000151991844,0.2800000011920929,0.03200000151991844
448	upper	Marco puerta estudio superior	blackMetal	13.930000305175781,5.869999885559082,5.300000190734863	0.10999999940395355,0.07999999821186066,1
449	upper	Marco puerta estudio frente	blackMetal	13.930000305175781,4.570000171661377,4.840000152587891	0.10999999940395355,2.5999999046325684,0.07999999821186066
450	upper	Marco puerta estudio fondo	blackMetal	13.930000305175781,4.570000171661377,5.760000228881836	0.10999999940395355,2.5999999046325684,0.07999999821186066
451	upperDetail	Panel acústico frontal A	acoustic	16.100000381469727,4.820000171661377,0.27000001072883606	1.0499999523162842,1.399999976158142,0.07999999821186066
452	upperDetail	Panel acústico frontal B	acoustic	18,4.820000171661377,0.27000001072883606	1.0499999523162842,1.399999976158142,0.07999999821186066
453	upperDetail	Panel acústico frontal C	acoustic	20,4.820000171661377,0.27000001072883606	1.0499999523162842,1.399999976158142,0.07999999821186066
454	upperDetail	Panel acústico lateral A	acoustic	21.68000030517578,4.800000190734863,1.7000000476837158	0.07999999821186066,1.5,1.149999976158142
455	upperDetail	Panel acústico lateral B	acoustic	21.68000030517578,4.800000190734863,4.199999809265137	0.07999999821186066,1.5,1.149999976158142
456	upperDetail	Trampa grave A	acoustic	14.479999542236328,4.25,0.47999998927116394	0.2199999988079071,2.049999952316284,0.2199999988079071
457	upperDetail	Trampa grave B	acoustic	21.520000457763672,4.25,0.47999998927116394	0.2199999988079071,2.049999952316284,0.2199999988079071
458	upperDetail	Consola estudio	blackMetal	18.18000030517578,4.099999904632568,3	3.3499999046325684,0.2199999988079071,1.1799999475479126
459	upperDetail	Base consola estudio	blackMetal	18.200000762939453,3.6700000762939453,3	0.6800000071525574,0.7200000286102295,2.4200000762939453
460	upperDetail	Pantalla estudio	studioDisplay	17.520000457763672,4.760000228881836,3	0.054999999701976776,0.6800000071525574,1.1799999475479126
461	upperDetail	Monitor izquierdo	blackMetal	17.3799991607666,4.650000095367432,1.7799999713897705	0.4000000059604645,0.5799999833106995,0.3400000035762787
462	upperDetail	Monitor derecho	blackMetal	17.3799991607666,4.650000095367432,4.21999979019165	0.4000000059604645,0.5799999833106995,0.3400000035762787
463	upperDetail	Luz lineal estudio	warmLight	18,6.050000190734863,3	3.200000047683716,0.04500000178813934,0.07999999821186066
464	upper	Medianera alta vivienda	brickDark	21.899999618530273,4.800000190734863,9	0.20000000298023224,3.200000047683716,6
465	upper	Vivienda lateral junto estudio	brick	14.100000381469727,4.800000190734863,6.320000171661377	0.20000000298023224,3.200000047683716,0.6399999856948853
466	upper	Dormitorio antepecho lateral	brick	14.100000381469727,3.7200000286102295,7.550000190734863	0.20000000298023224,1.0399999618530273,1.7999999523162842
467	upper	Dormitorio dintel lateral	concrete	14.100000381469727,6.019999980926514,7.550000190734863	0.20000000298023224,0.7599999904632568,1.7999999523162842
468	upper	Puerta ventana dormitorio vidrio	glass	13.972000122070312,4.880000114440918,7.550000190734863	0.008999999612569809,2.0799999237060547,1.7000000476837158
469	upper	Puerta ventana dormitorio Vidrio interior	glassInner	13.998000144958496,4.880000114440918,7.550000190734863	0.008999999612569809,2.0737600326538086,1.6949000358581543
470	upper	Puerta ventana dormitorio marco superior	blackMetal	13.984999656677246,5.920000076293945,7.550000190734863	0.125,0.0820000022649765,1.8639999628067017
471	upper	Puerta ventana dormitorio marco inferior	blackMetal	13.984999656677246,3.8399999141693115,7.550000190734863	0.125,0.0820000022649765,1.8639999628067017
472	upper	Puerta ventana dormitorio marco frente	blackMetal	13.984999656677246,4.880000114440918,6.699999809265137	0.125,2.0799999237060547,0.0820000022649765
473	upper	Puerta ventana dormitorio marco fondo	blackMetal	13.984999656677246,4.880000114440918,8.399999618530273	0.125,2.0799999237060547,0.0820000022649765
474	upper	Puerta ventana dormitorio Burlete superior	blackMetal	13.984999656677246,5.885560035705566,7.550000190734863	0.03500000014901161,0.026000000536441803,1.7000000476837158
475	upper	Puerta ventana dormitorio Burlete inferior	blackMetal	13.984999656677246,3.8744399547576904,7.550000190734863	0.03500000014901161,0.026000000536441803,1.7000000476837158
476	upper	Puerta ventana dormitorio Burlete frente	blackMetal	13.984999656677246,4.880000114440918,6.734439849853516	0.03500000014901161,2.0799999237060547,0.026000000536441803
477	upper	Puerta ventana dormitorio Burlete fondo	blackMetal	13.984999656677246,4.880000114440918,8.365559577941895	0.03500000014901161,2.0799999237060547,0.026000000536441803
478	upper	Puerta ventana dormitorio alféizar	concrete	14.003000259399414,3.7850000858306885,7.550000190734863	0.18000000715255737,0.04500000178813934,1.773800015449524
479	upper	Paño lateral medio vivienda	brick	14.100000381469727,4.800000190734863,8.760000228881836	0.20000000298023224,3.200000047683716,0.6200000047683716
480	upper	Dintel puerta ventana lateral	concrete	14.100000381469727,6.079999923706055,10.350000381469727	0.20000000298023224,0.6399999856948853,2.549999952316284
481	upper	Umbral lateral vivienda	concrete	14.100000381469727,3.2249999046325684,10.350000381469727	0.2199999988079071,0.05000000074505806,2.549999952316284
482	upper	Corrediza lateral A vidrio	glass	13.972000122070312,4.489999771118164,9.75	0.008999999612569809,2.5399999618530273,1.149999976158142
483	upper	Corrediza lateral A Vidrio interior	glassInner	13.998000144958496,4.489999771118164,9.75	0.008999999612569809,2.5323801040649414,1.1465500593185425
484	upper	Corrediza lateral A marco superior	blackMetal	13.984999656677246,5.760000228881836,9.75	0.125,0.0820000022649765,1.3140000104904175
485	upper	Corrediza lateral A marco inferior	blackMetal	13.984999656677246,3.2200000286102295,9.75	0.125,0.0820000022649765,1.3140000104904175
486	upper	Corrediza lateral A marco frente	blackMetal	13.984999656677246,4.489999771118164,9.175000190734863	0.125,2.5399999618530273,0.0820000022649765
487	upper	Corrediza lateral A marco fondo	blackMetal	13.984999656677246,4.489999771118164,10.324999809265137	0.125,2.5399999618530273,0.0820000022649765
488	upper	Corrediza lateral A Burlete superior	blackMetal	13.984999656677246,5.725560188293457,9.75	0.03500000014901161,0.026000000536441803,1.149999976158142
489	upper	Corrediza lateral A Burlete inferior	blackMetal	13.984999656677246,3.2544400691986084,9.75	0.03500000014901161,0.026000000536441803,1.149999976158142
490	upper	Corrediza lateral A Burlete frente	blackMetal	13.984999656677246,4.489999771118164,9.209440231323242	0.03500000014901161,2.5399999618530273,0.026000000536441803
491	upper	Corrediza lateral A Burlete fondo	blackMetal	13.984999656677246,4.489999771118164,10.290559768676758	0.03500000014901161,2.5399999618530273,0.026000000536441803
492	upper	Corrediza lateral A alféizar	concrete	14.003000259399414,3.1649999618530273,9.75	0.18000000715255737,0.04500000178813934,1.2237999439239502
493	upper	Corrediza lateral B vidrio	glass	13.968999862670898,4.489999771118164,10.949999809265137	0.008999999612569809,2.5399999618530273,1.149999976158142
494	upper	Corrediza lateral B Vidrio interior	glassInner	13.994999885559082,4.489999771118164,10.949999809265137	0.008999999612569809,2.5323801040649414,1.1465500593185425
495	upper	Corrediza lateral B marco superior	blackMetal	13.982000350952148,5.760000228881836,10.949999809265137	0.125,0.0820000022649765,1.3140000104904175
496	upper	Corrediza lateral B marco inferior	blackMetal	13.982000350952148,3.2200000286102295,10.949999809265137	0.125,0.0820000022649765,1.3140000104904175
497	upper	Corrediza lateral B marco frente	blackMetal	13.982000350952148,4.489999771118164,10.375	0.125,2.5399999618530273,0.0820000022649765
498	upper	Corrediza lateral B marco fondo	blackMetal	13.982000350952148,4.489999771118164,11.524999618530273	0.125,2.5399999618530273,0.0820000022649765
499	upper	Corrediza lateral B Burlete superior	blackMetal	13.982000350952148,5.725560188293457,10.949999809265137	0.03500000014901161,0.026000000536441803,1.149999976158142
500	upper	Corrediza lateral B Burlete inferior	blackMetal	13.982000350952148,3.2544400691986084,10.949999809265137	0.03500000014901161,0.026000000536441803,1.149999976158142
501	upper	Corrediza lateral B Burlete frente	blackMetal	13.982000350952148,4.489999771118164,10.409440040588379	0.03500000014901161,2.5399999618530273,0.026000000536441803
502	upper	Corrediza lateral B Burlete fondo	blackMetal	13.982000350952148,4.489999771118164,11.490559577941895	0.03500000014901161,2.5399999618530273,0.026000000536441803
